Name,MainAirline,RewardsID,Age,Gender,Race,HomeAirport
Sharon Hayes,AA,AA79725,50,F,Hispanic/Latino,TPA
Vincent Gibbons,UA,UA46369,69,M,Hispanic/Latino,IAH
James Dillard,UA,UA30542,67,M,Asian,TPA
William Katechis,AS,AS72523,41,M,Hispanic/Latino,PHL
Jeffery Riggs,HA,HA41476,43,M,Black/African American,PHX
Horace Windsor,AS,AS34306,58,M,Hispanic/Latino,MCO
Christopher Mendoza,AS,AS96658,51,M,Black/African American,BWI
Faith Farrow,UA,UA45252,32,F,Asian,PHX
Delores Sullivan,HA,HA12095,30,F,Native American/Alaska Native,SFO
Beatrice Gowen,UA,UA33049,56,F,Native American/Alaska Native,MCO
Anthony Conboy,DL,DL23982,79,M,Native American/Alaska Native,IAD
Leandro Alt,DL,DL42731,42,M,Asian,IAD
Rodney Lofgren,AA,AA33704,40,M,Native American/Alaska Native,PHL
Jaime Bowman,DL,DL68105,78,M,Native Hawaiian/Pacific Islander,ATL
Robert Fleming,AS,AS41887,75,M,Black/African American,MCO
Randall Wheeler,SW,SW35707,24,M,Native American/Alaska Native,IAD
Clair Herrera,AA,AA88041,37,M,Native Hawaiian/Pacific Islander,SEA
Antonio Johnson,HA,HA15428,30,M,Native Hawaiian/Pacific Islander,DFW
Joseph Dorman,DL,DL59114,53,M,Asian,JFK
Jim Garcia,HA,HA37331,38,M,Asian,IAD
Nicole Guillotte,HA,HA12086,81,F,White,SAN
Starr Maddox,UA,UA64685,30,F,Native American/Alaska Native,SLC
Jason Briley,DL,DL48434,52,M,Native Hawaiian/Pacific Islander,BOS
Marjorie Steinbach,HA,HA54954,41,F,Hispanic/Latino,DTW
Margaret Mares,DL,DL54508,55,F,Asian,BOS
Viola Mcmullen,UA,UA35647,51,F,Asian,DTW
Martha Yepez,UA,UA40562,37,F,Black/African American,SEA
Rita Purcell,UA,UA90794,23,F,Native Hawaiian/Pacific Islander,MIA
Shelly Velasquez,AA,AA87375,70,F,Hispanic/Latino,SLC
Cory Michaud,HA,HA96353,71,M,White,MDW
Mark Tse,AS,AS64965,25,M,Native American/Alaska Native,MDW
Margaret Hamm,UA,UA31071,78,F,White,BOS
Laura Fletcher,SW,SW32995,44,F,Native Hawaiian/Pacific Islander,BOS
Mercedes Torres,DL,DL26447,55,F,Black/African American,IAD
Donnie Ibarra,DL,DL35054,33,M,Hispanic/Latino,MDW
John Gabriel,SW,SW37141,30,M,Native Hawaiian/Pacific Islander,SFO
Mark Hollis,HA,HA20584,43,M,Native Hawaiian/Pacific Islander,BOS
Marcie Bakke,AA,AA80212,40,F,Hispanic/Latino,EWR
Leann Fox,AS,AS94743,33,F,Hispanic/Latino,PHL
Vivian Wrigley,AA,AA75687,59,F,Native American/Alaska Native,PHL
Moses Bryant,SW,SW23332,77,M,Black/African American,DEN
Lynette Rodriquez,AA,AA83178,62,F,White,IAH
Noel Crespo,SW,SW97780,57,F,Native American/Alaska Native,LAX
Michael Tyson,AA,AA86379,27,M,Native Hawaiian/Pacific Islander,BWI
Ronald Hummel,HA,HA60903,52,M,Black/African American,TPA
Raymond Mann,UA,UA92100,53,M,Asian,LAX
Adeline Allen,DL,DL87501,38,F,Asian,BNA
Denise Dale,AA,AA10657,79,F,Asian,BWI
Edith Ramirez,SW,SW40372,27,F,Asian,SAN
Albert Hurst,SW,SW19015,49,M,Hispanic/Latino,MCO
Therese Walker,AA,AA34609,81,F,Native Hawaiian/Pacific Islander,BOS
Elizabeth Larson,UA,UA52255,22,F,Native American/Alaska Native,SLC
Glenda Sosebee,AS,AS56316,83,F,Black/African American,PHX
Milton Higginson,HA,HA13859,59,M,Asian,EWR
Michelle Toon,AS,AS95989,81,F,Black/African American,PHX
Deborah Martino,AA,AA95890,60,F,Native Hawaiian/Pacific Islander,SAN
Bernadette Torres,HA,HA27991,70,F,Native American/Alaska Native,LAS
Joseph Wright,HA,HA72082,82,M,Native Hawaiian/Pacific Islander,MIA
Lucy Tarnowski,UA,UA86003,37,F,White,EWR
Nancy Henry,DL,DL27788,66,F,Native Hawaiian/Pacific Islander,FLL
Joann Lewandowski,DL,DL52585,71,F,Native American/Alaska Native,SLC
